table_name,file_size,version,decompression_time_ms,random_access_time_ms,n_repetition,times_data_repeated
Arade,1136776.53,duckdb_native_12,18.76,0.11,10,15
Bimbo,595012.27,duckdb_native_12,5.28,0.1,10,15
CMSprovider,4824268.8,duckdb_native_12,78.23,0.19,10,15
CityMaxCapita,12199253.33,duckdb_native_12,135.12,0.29,10,15
CommonGovernment,4614553.6,duckdb_native_12,125.5,0.33,10,15
Corporations,3915502.93,duckdb_native_12,79.78,0.27,10,15
Eixo,7795234.13,duckdb_native_12,407.56,0.55,10,15
Euro2016,5663129.6,duckdb_native_12,43.62,0.13,10,15
Food,402773.33,duckdb_native_12,8.35,0.09,10,15
Generico,1626112.0,duckdb_native_12,84.53,0.3,10,15
HashTags,33572727.47,duckdb_native_12,375.02,0.83,10,15
Hatred,12775970.13,duckdb_native_12,115.72,0.29,10,15
IGlocations1,2028066.13,duckdb_native_12,19.03,0.13,10,15
MLB,4020360.53,duckdb_native_12,44.77,0.25,10,15
MedPayment1,6117512.53,duckdb_native_12,82.64,0.24,10,15
Medicare1,4299980.8,duckdb_native_12,51.73,0.17,10,15
Motos,4562124.8,duckdb_native_12,168.45,0.29,10,15
MulheresMil,7969996.8,duckdb_native_12,409.13,0.55,10,15
NYC,6274798.93,duckdb_native_12,187.97,0.47,10,15
PanCreactomy1,5418461.87,duckdb_native_12,85.29,0.22,10,15
Physicians,6169941.33,duckdb_native_12,80.54,0.23,10,15
Provider,6065083.73,duckdb_native_12,76.99,0.24,10,15
RealEstate1,5261175.47,duckdb_native_12,108.32,0.27,10,15
Redfin1,13282781.87,duckdb_native_12,62.32,0.73,10,15
Rentabilidad,19137331.2,duckdb_native_12,325.84,0.9,10,15
Romance,12915780.27,duckdb_native_12,66.19,0.18,10,15
SalariesFrance,15187694.93,duckdb_native_12,178.6,0.42,10,15
TableroSistemaPenal,1573683.2,duckdb_native_12,131.89,0.18,10,15
Taxpayer,6082560.0,duckdb_native_12,77.15,0.24,10,15
Telco,28609467.73,duckdb_native_12,163.22,0.67,10,15
TrainsUK1,6397132.8,duckdb_native_12,99.05,0.2,10,15
TrainsUK2,5960226.13,duckdb_native_12,95.66,0.3,10,15
USCensus,8861286.4,duckdb_native_12,104.77,4.92,10,15
Uberlandia,7987473.07,duckdb_native_12,398.84,0.57,10,15
Wins,21566532.27,duckdb_native_12,232.05,1.05,10,15
YaleLanguages,2552354.13,duckdb_native_12,106.64,0.21,10,15
