table_name,0.0.2,btrblocks,uncompressed
Arade,946344,1106852,6128082
Bimbo,326273,320789,3670016
CMSprovider,2998164,3331092,16717728
CityMaxCapita,8944872,10345233,26114962
CommonGovernment,2332071,2395312,31160892
Corporations,2514357,4739543,11970825
Eixo,4722833,5423877,65881123
Euro2016,5346923,6460921,13449844
Food,501881,411055,2758131
Generico,897832,824704,21884660
HashTags,16617335,25798221,94831839
Hatred,9045609,10962281,26126504
IGlocations1,1658065,1579416,6387454
MLB,2209776,2269361,18994088
MedPayment1,3729488,4244292,16768400
Medicare1,3438320,3693258,12973420
Motos,1842041,1685237,44208445
MulheresMil,4781141,5440100,68216999
NYC,3881843,4882924,44956954
PanCreactomy1,3404088,3639937,18360922
Physicians,3705048,4279715,16768116
Provider,3688568,4164264,16202756
RealEstate1,3784832,4662712,20048960
Redfin1,8562021,9710821,23985992
Rentabilidad,13097935,15447440,71690293
Romance,8555868,10196957,22409362
SalariesFrance,8859831,10646158,48773319
TableroSistemaPenal,514566,458307,23355058
Taxpayer,3663284,4366887,16195222
Telco,18033812,18577898,100558091
TrainsUK1,2751502,2882829,22919836
TrainsUK2,3103523,3579676,32451407
USCensus,3610316,3821247,68878364
Uberlandia,4809465,5391945,67115250
Wins,12375029,14000572,91456219
YaleLanguages,1154981,1447989,21722614
